class,term,week,subject,topic,agegroup
Year 2,Calvary Term,4,Computer Studies,The introduction of internet as a computer network ( meaning and uses of internet),6-7
Year 2,Calvary Term,5,Computer Studies,"The internet: online safety rules for young learners, trusted websites for educational purposes",6-7
Year 2,Calvary Term,6,Computer Studies,"Websites: meaning, components and types",6-7
Year 2,Calvary Term,7,Computer Studies,System unit: meaning and components,6-7
Year 2,Calvary Term,8,Computer Studies,"The motherboard: unit of motherboard, functions of motherboard",6-7
Year 2,Calvary Term,9,Computer Studies,"Control unit: identification of parts, uses of part",6-7
Year 3,Calvary Term,1,Computer Studies,Input and output devices,7-8
Year 3,Calvary Term,2,Computer Studies,C.P.U as the brain of the computer,7-8
Year 3,Calvary Term,3,Computer Studies,"Computer software: meaning, differences between system software and application of software",7-8
Year 3,Calvary Term,4,Computer Studies,"System software: meaning, key components of system software, functions and roles of system software",7-8
Year 3,Calvary Term,5,Computer Studies,"Operating system: meaning, examples of operating system (e.g MS-DOS, WINDOWS, ICONS, LINUX, UNIX, e.t.c)",7-8
Year 3,Calvary Term,6,Computer Studies,"Utilities: meaning, examples of utilities software ( e.g antivirus)",7-8
Year 3,Calvary Term,7,Computer Studies,"Application software: meaning, categories of application software, functions and characteristics of application software",7-8
Year 3,Calvary Term,8,Computer Studies,Uses of computer software,7-8
Year 3,Calvary Term,9,Computer Studies,"Computer cables( meaning, types)",7-8
Year 4,Calvary Term,1,Computer Studies,Classification of computer by purpose,8-9
Year 4,Calvary Term,2,Computer Studies,Reasons for taking care of computer,8-9
Year 4,Calvary Term,3,Computer Studies,"Computer hardware: meaning, components and care of computer hardware",8-9
Year 4,Calvary Term,4,Computer Studies,"The mouse: description, parts, application of computer mouse ( left/right clicking, scroll ball, double clicking, drag operation",8-9
Year 4,Calvary Term,5,Computer Studies,The keyboard: sections of computer keyboard,8-9
Year 4,Calvary Term,6,Computer Studies,"Computer virus: meaning, how it spread, signs of a computer virus, protection against computer virus",8-9
Year 4,Calvary Term,7,Computer Studies,"Introduction to computer malicious software malware : meaning, types and protection of computer against malware ( use of antivirus)",8-9
Year 4,Calvary Term,8,Computer Studies,"Content of the desktop and functions of each icon on desktop: recycling bin, my documents, my computer, start button, task bar e.t.c",8-9
Year 4,Calvary Term,9,Computer Studies,"Practical: functions of the desktop: creating folders, deleting folders, copying files from one directory to another, identifying copied file",8-9
Year 5,Calvary Term,1,Computer Studies,Precautions with the use of computer hardware: precautions that should be taken in the use of the computer and by the computer user,9-10
Year 5,Calvary Term,2,Computer Studies,Care of human ware: why we should take care of human ware,9-10
Year 5,Calvary Term,3,Computer Studies,"Drawing with computer: meaning, identifying different computer, drawing software, types of computer, drawing software e.g Corel draw",9-10
Year 5,Calvary Term,4,Computer Studies,"Paint program : description of paint, program, components of paint program and uses",9-10
Year 5,Calvary Term,5,Computer Studies,"Microsoft paint environment: meaning, exploring the Microsoft paint environment, basic tools and features",9-10
Year 5,Calvary Term,6,Computer Studies,Computer and the society: small and large scale application of computer in the society,9-10
Year 5,Calvary Term,7,Computer Studies,"Computer as IPO ( input prices and output) system: meaning, examples of computer IPO system",9-10
Year 5,Calvary Term,8,Computer Studies,"Connecting different parts of a computer: how to connect the system unit, keyboard, monitor, mouse, printer, scanner e.t.c",9-10
Year 5,Calvary Term,9,Computer Studies,"Practical -- draw simple, drawing using computer ( Corel draw) or draw lines, eclipse, circle and rectangles using paint artists",9-10
Year 1,Calvary Term,1,Geography,Rivers in Africa,5-6
Year 1,Calvary Term,2,Geography,"A map -- meaning of a map, functions of a map",5-6
Year 1,Calvary Term,3,Geography,"Mapping with colors -- our school, our home",5-6
Year 1,Calvary Term,4,Geography,"Natural resources -- meaning , natural resources found in Oyo state",5-6
Year 1,Calvary Term,5,Geography,"Land -- meaning of land, uses and benefits",5-6
Year 1,Calvary Term,6,Geography,"The air -- meaning , constituents and uses",5-6
Year 1,Calvary Term,7,Geography,West African countries and capitals,5-6
Year 1,Calvary Term,8,Geography,Natural resources in Oyo,5-6
Year 1,Calvary Term,9,Geography,Rock -- meaning and types,5-6
Year 2,Calvary Term,1,Geography,Major cities in Nigeria: examples and locations,6-7
Year 2,Calvary Term,2,Geography,"Deforestation: meaning, benefits and effects",6-7
Year 2,Calvary Term,3,Geography,Afforestation: meaning and benefits,6-7
Year 2,Calvary Term,4,Geography,Geographical term: list and explain terms in geography,6-7
Year 2,Calvary Term,5,Geography,Rural settlement ( meaning and features),6-7
Year 2,Calvary Term,6,Geography,"Urban settlement ( meaning, features and differences between rural and urban settlement)",6-7
Year 2,Calvary Term,7,Geography,The atmosphere ( meaning and constituents),6-7
Year 2,Calvary Term,8,Geography,Plains ( meaning of plains and examples),6-7
Year 2,Calvary Term,9,Geography,Rainfall ( definition and process of rainfall),6-7
Year 3,Calvary Term,1,Geography,ECOWAS countries: capital and their leaders (aims and objectives),7-8
Year 3,Calvary Term,2,Geography,Nations and their currencies ( explanation and examples),7-8
Year 3,Calvary Term,3,Geography,Nations and the country code ( meaning and examples),7-8
Year 3,Calvary Term,4,Geography,Vegetational belts in west Africa,7-8
Year 3,Calvary Term,5,Geography,Lakes and rivers in west Africa,7-8
Year 3,Calvary Term,6,Geography,Map of Africa ( diagram Identification),7-8
Year 3,Calvary Term,7,Geography,West African countries and capitals,7-8
Year 3,Calvary Term,8,Geography,Natural resources in Africa ( African countries and their natural resources),7-8
Year 3,Calvary Term,9,Geography,Major export goods in Nigeria ( meaning and examples),7-8
Year 4,Calvary Term,1,Geography,"Agricultural resources: meaning, examples and benefits",8-9
Year 4,Calvary Term,2,Geography,Capital resources: income distributions in developed and under developed countries,8-9
Year 4,Calvary Term,3,Geography,Conservation of natural resources: meaning and importance,8-9
Year 4,Calvary Term,4,Geography,"Population density: meaning of population, population density and effects",8-9
Year 4,Calvary Term,5,Geography,"Resources distribution: meaning, types and effects",8-9
Year 4,Calvary Term,6,Geography,"Land mark: meaning, types and importance",8-9
Year 4,Calvary Term,7,Geography,"Human geography: meaning, human features of geography, the effect on physical features of geography on man's occupation and homes",8-9
Year 4,Calvary Term,8,Geography,"Longitude and latitude: meaning, differences and measurements",8-9
Year 4,Calvary Term,9,Geography,"Natural hazard: meaning, examples and effects",8-9
Year 5,Calvary Term,1,Geography,"Some languages of the world: English, French, Italy, Portuguese, Latin, countries that speaks them",9-10
Year 5,Calvary Term,2,Geography,"The aerospace: definition, usage and examples",9-10
Year 5,Calvary Term,3,Geography,"Soil : meaning, importance and constituents",9-10
Year 5,Calvary Term,4,Geography,Famous geographers in the world,9-10
Year 5,Calvary Term,5,Geography,Migration: meaning and effects of migration,9-10
Year 5,Calvary Term,6,Geography,Oceans of the world: meaning list of oceans in the world,9-10
Year 5,Calvary Term,7,Geography,Global warming: meaning and effects,9-10
Year 5,Calvary Term,8,Geography,"Survey: meaning, types and importance",9-10
Year 5,Calvary Term,9,Geography,"Africa: countries, climate, map of Africa and languages spoken in Africa",9-10
Year 1,Calvary Term,1,Christian Religious Knowledge,The life of Jesus: Jesus call little children to come to him. Matthew 19: 13-15,5-6
Year 1,Calvary Term,2,Christian Religious Knowledge,"Jesus our friend : Matthew 4:18-22, John 15:7-15, Luke 11:5-8 and 36",5-6
Year 1,Calvary Term,3,Christian Religious Knowledge,"Jesus our brother: Matthew 3:31-35, Act 17:24-27, Exodus 12:1-4",5-6
Year 1,Calvary Term,4,Christian Religious Knowledge,"Jesus want us to love one another: Matthew 5:1-12, 1 Corinthians 13:1-3, John 13:34-35",5-6
Year 1,Calvary Term,5,Christian Religious Knowledge,The provision of food: John 6:1-13,5-6
Year 1,Calvary Term,6,Christian Religious Knowledge,"Using God strength and ability:1 Samuel 17:41-51, Genesis 40:1-19",5-6
Year 1,Calvary Term,7,Christian Religious Knowledge,"The death and resurrection of Jesus Christ: the definition of Jesus death, Matthew 27:27-50, 28:1-8",5-6
Year 1,Calvary Term,8,Christian Religious Knowledge,"The power of death: God has power over death, suffering and all evil powers, God has given us his power, God's power protect us from my kind of harm",5-6
Year 1,Calvary Term,9,Christian Religious Knowledge,"Ways to sacrifice: obeying parents, keeping your home and classroom clean, forgiving others -- Matthew 23:11, Galatians 6:9-10, obeying God our father, Matthew 21:28-32, Luke 2:51",5-6
Year 2,Calvary Term,1,Christian Religious Knowledge,"The early life of Jesus: Luke 2:29-32, Matthew 2:13-23",6-7
Year 2,Calvary Term,2,Christian Religious Knowledge,"Jesus preparation for his ministry: Matthew 3:13-17, John 1:25-52, Luke 4:1-13",6-7
Year 2,Calvary Term,3,Christian Religious Knowledge,"Jesus teaches about God love: John 3:16, luke15:3-7",6-7
Year 2,Calvary Term,4,Christian Religious Knowledge,"Jesus teaching on the kingdom of God -- Luke 8:4-15, Matthew 25:1-30",6-7
Year 2,Calvary Term,5,Christian Religious Knowledge,"Jesus power over natural forces: Mark 4 : 35-42, John 6:5-14 and 2 :1-11",6-7
Year 2,Calvary Term,6,Christian Religious Knowledge,"Jesus power over diseases and death: Peter mother's in-law, the paralyzed man, Jairus daughter, the widow son, Lazarus -- Matthew 8:14-17, Luke 5:17-26, john11:1-44",6-7
Year 2,Calvary Term,7,Christian Religious Knowledge,"Jesus power over evil: what is evil, examples, results of evil, examples of evil people, king Herod e.t.c, results of evil; hellfire, death, punishment, sorrow",6-7
Year 2,Calvary Term,8,Christian Religious Knowledge,Identification of bad friends,6-7
Year 2,Calvary Term,9,Christian Religious Knowledge,Death and resurrection of Jesus,6-7
Year 3,Calvary Term,1,Christian Religious Knowledge,Jesus is the only way to God: John 4:6 and 3:1-7,7-8
Year 3,Calvary Term,2,Christian Religious Knowledge,"Jesus the good shepherd: the qualities of a good shepherd -- John 10:2-18, Psalm 23",7-8
Year 3,Calvary Term,3,Christian Religious Knowledge,"Jesus the bread of life: John 6:35, significance of Jesus as the bread of life, John 6:51",7-8
Year 3,Calvary Term,4,Christian Religious Knowledge,"The goodness of Jesus: John 2:1-11, Matthew 20:30",7-8
Year 3,Calvary Term,5,Christian Religious Knowledge,How can a person be born again: John 3:1-8,7-8
Year 3,Calvary Term,6,Christian Religious Knowledge,Wages of sin : Roman 3:23,7-8
Year 3,Calvary Term,7,Christian Religious Knowledge,"Christians as the light and salt of the world: Matthew 5:13, Luke 13:34-35, Matthew 5:15-16",7-8
Year 3,Calvary Term,8,Christian Religious Knowledge,"Suffering of Jesus: Luke 22:47-53, Matthew 36:57-68, suffering as Christians: John 15:18-29",7-8
Year 3,Calvary Term,9,Christian Religious Knowledge,"The death and resurrection of Jesus: Luke 22:33, and 23:46, and 24:1-6",7-8
Year 4,Calvary Term,1,Christian Religious Knowledge,"The coming of Jesus Christ: Luke 1:1-7, Matthew 2:1-23",8-9
Year 4,Calvary Term,2,Christian Religious Knowledge,"Jesus loves all people: Matthew 5:44-48, John 15:12, Mark 10:46-52",8-9
Year 4,Calvary Term,3,Christian Religious Knowledge,"Jesus and the Father: Luke 2:50, Matthew 6:3, John 11:1-44",8-9
Year 4,Calvary Term,4,Christian Religious Knowledge,"Jesus prays to the father: Luke 21:22, Matthew 21:22",8-9
Year 4,Calvary Term,5,Christian Religious Knowledge,"Jesus the son of God: Matthew 16:13-20, 17:1-13",8-9
Year 4,Calvary Term,6,Christian Religious Knowledge,The value of hard work II Thessalonians 3:6-15,8-9
Year 4,Calvary Term,7,Christian Religious Knowledge,"The temptations and problems of the world: Matthew 4:1-11, Exodus 20:1-17",8-9
Year 4,Calvary Term,8,Christian Religious Knowledge,"Jesus gave His life for us on the cross: Matthew 28:47-54, Luke 23: 1-25",8-9
Year 4,Calvary Term,9,Christian Religious Knowledge,The resurrection and ascension of Jesus Christ: Mark 16:1-14 Luke 24- 48-52,8-9
Year 5,Calvary Term,1,Christian Religious Knowledge,"Jesus the son of God: Matthew 3:1, 3:17 & 16:1-19",9-10
Year 5,Calvary Term,2,Christian Religious Knowledge,"Jesus leads us to the father: John 1:10-16, Psalm 23",9-10
Year 5,Calvary Term,3,Christian Religious Knowledge,"Jesus prays to the father for us: Matthew 5:43-48, Luke 23:33-43",9-10
Year 5,Calvary Term,4,Christian Religious Knowledge,"Jesus conquers the devil: Matthew4:1-11, Mark 9:17-29",9-10
Year 5,Calvary Term,5,Christian Religious Knowledge,"Jesus gives us the Golden rule : Matthew 7:1-27, Luke 6:31",9-10
Year 5,Calvary Term,6,Christian Religious Knowledge,"Jesus teaches us to forgive our enemies: Luke 15:11-24, Luke 23:39-43",9-10
Year 5,Calvary Term,7,Christian Religious Knowledge,"God's mercy on us: meaning of mercy, how God shows mercy to us, parable of the unmerciful servant: Matthew 18:21-34",9-10
Year 5,Calvary Term,8,Christian Religious Knowledge,Fruits of the spirit: Galatians 5:21-23,9-10
Year 5,Calvary Term,9,Christian Religious Knowledge,Jesus gives His life for us,9-10
