class,term,week,subject,topic,agegroup
Year 3,1st Term,9,Citizenship,"Peaceful coexistence: meaning, reasons and importance",7-8
Year 4,1st Term,1,Citizenship,"Constitution: meaning, types and importance",8-9
Year 4,1st Term,2,Citizenship,"Nation: meaning, characteristics, how to build a nation, and importance of nation building",8-9
Year 4,1st Term,3,Citizenship,"Cultural diversity: meaning, how to develop right attitude to cultural diversity and importance",8-9
Year 4,1st Term,4,Citizenship,"Loyalty: meaning of loyalty and disloyalty, how to show loyalty to the nation, consequences of disloyalty",8-9
Year 4,1st Term,5,Citizenship,"Leadership: meaning, types, levels and qualities of a good leader",8-9
Year 4,1st Term,6,Citizenship,System of government ( presidential and parliamentary system of government),8-9
Year 4,1st Term,7,Citizenship,Building values and morals,8-9
Year 4,1st Term,8,Citizenship,"National identity: meaning, elements and importance",8-9
Year 4,1st Term,9,Citizenship,Roles of individuals in the society,8-9
Year 5,1st Term,1,Citizenship,"Election: meaning, types, major terms used in electoral processes and importance",9-10
Year 5,1st Term,2,Citizenship,"Nationalism : meaning, ways of promoting nationalism and some nationalist in Nigeria",9-10
Year 5,1st Term,3,Citizenship,"National honors and award: meaning, types, reasons and people",9-10
Year 5,1st Term,4,Citizenship,Human rights activists: meaning of human rights activists in Nigeria,9-10
Year 5,1st Term,5,Citizenship,"Pressure groups : meaning, ways of promoting nationalism, some nationalist in Nigeria",9-10
Year 5,1st Term,6,Citizenship,Nigeria's foreign policy and international relations,9-10
Year 5,1st Term,7,Citizenship,"The united nation and the common wealth of nations: members states, aims, objectives and functions",9-10
Year 5,1st Term,8,Citizenship,"OPEC and AU: meaning, members state, aims, objectives and functions",9-10
Year 5,1st Term,9,Citizenship,International conflicts and ECOWAS ( case study of Niger republic),9-10
Year 1,1st Term,1,Physical and Health Education,P- what is physical education H- Parts of the body and functions,5-6
Year 1,1st Term,2,Physical and Health Education,P- Aims and objectives of physical education H- Care of the body: part of the body and how to care for the body,5-6
Year 1,1st Term,3,Physical and Health Education,P- Athletics : meaning and examples H- care of the teeth: meaning and types of teeth,5-6
Year 1,1st Term,4,Physical and Health Education,P- Athletics: benefits of athletics H- Care of the eye,5-6
Year 1,1st Term,5,Physical and Health Education,P- Athletics: track event H- care of the ears: meaning and parts of the ears,5-6
Year 1,1st Term,6,Physical and Health Education,"P- sprints and types of sprint( 50 meters, 100 meters) H- Care of clothing",5-6
Year 1,1st Term,7,Physical and Health Education,P- phases and features of sprints race H- care of the classroom,5-6
Year 1,1st Term,8,Physical and Health Education,P- rules guiding sprint race H- care of the school environment,5-6
Year 1,1st Term,9,Physical and Health Education,P- standing broad jump H-Care of the toilet,5-6
Year 2,1st Term,1,Physical and Health Education,P- starting a race H- Importance of a clean body,6-7
Year 2,1st Term,2,Physical and Health Education,P- finishing a race H- Care of our surroundings,6-7
Year 2,1st Term,3,Physical and Health Education,"P- athletics: meaning of athletics, meaning of short distance race, benefit of running H- Care if the face, hands and body",6-7
Year 2,1st Term,4,Physical and Health Education,P- field event : broad jump H- Table manners,6-7
Year 2,1st Term,5,Physical and Health Education,P- Jumping distance H -refuse disposal,6-7
Year 2,1st Term,6,Physical and Health Education,P- fill in the basket H-Good and bad habit,6-7
Year 2,1st Term,7,Physical and Health Education,"P- fill in the bottles with water H- Condition that requires first aid (bleeding, fainting, bruises, heat and exhaustion)",6-7
Year 2,1st Term,8,Physical and Health Education,"P- shuttle relay H- Basic first aid procedures (cleaning a wound, applying bandage and plaster)",6-7
Year 2,1st Term,9,Physical and Health Education,P- cycling in the air H- Safety rules in games,6-7
Year 3,1st Term,1,Physical and Health Education,"P- Locomotor movements: meaning, types ( walking, running, skipping, crawling and galloping) H- care of the body",7-8
Year 3,1st Term,2,Physical and Health Education,"P- Locomotor movements: skills involved in sliding, jumping and leaping, hopping H- care of the hair",7-8
Year 3,1st Term,3,Physical and Health Education,"P- non Locomotor movements: meaning and types ( stretching, bending, twisting, swinging, pulling and pushing) H- Skin diseases",7-8
Year 3,1st Term,4,Physical and Health Education,P- non Locomotor movements: pulling and pushing H- Personal health,7-8
Year 3,1st Term,5,Physical and Health Education,"P- sprints and types of sprint (100 metres, 200 metres, 400 metres) sprints and techniques (take off, running, arm action and finish) H- Exercise, rest and sleep: meaning and importance",7-8
Year 3,1st Term,6,Physical and Health Education,"P- techniques in running -- acceleration , coast , the finish H- growth: meaning, foods that makes us grow properly",7-8
Year 3,1st Term,7,Physical and Health Education,"P- field event: high jump: stages of high jump (run off, take off, clearing the cross bar, landing and recovery) H- Food and nutrition",7-8
Year 3,1st Term,8,Physical and Health Education,P- field event: long jump H- care of our food,7-8
Year 3,1st Term,9,Physical and Health Education,P- relay race H- care of our clothes,7-8
Year 4,1st Term,1,Physical and Health Education,P- starting and finishing position -100 meter H- requirements for healthy loving -- exercise and recreation,8-9
Year 4,1st Term,2,Physical and Health Education,P- physical fitness: meaning and components H- posture: meaning and importance of good posture,8-9
Year 4,1st Term,3,Physical and Health Education,P- relay race: baton exchange (visual method) H-postural defect: meaning and factors responsible,8-9
Year 4,1st Term,4,Physical and Health Education,P- relay race: baton exchange ( non- visual method) H- Sickness associated with various season,8-9
Year 4,1st Term,5,Physical and Health Education,P- triple jump H- Refuse disposal,8-9
Year 4,1st Term,6,Physical and Health Education,"P- volleyball skills: under arm service (serving, passing scoring) H- How to sleep or rules for sleeping",8-9
Year 4,1st Term,7,Physical and Health Education,P- track event: hurdles H- Body recreation during sleep,8-9
Year 4,1st Term,8,Physical and Health Education,"P- field event: javelin H- Drug education: meaning, examples, importance and ways of taking drugs (through mouth, rubbing on skin, injecting and inhaling)",8-9
Year 4,1st Term,9,Physical and Health Education,"P- field event: short put H- diseases: meaning, types, examples, signs and symptoms",8-9
Year 5,1st Term,1,Physical and Health Education,"P- swimming: meaning, types of strokes and skills H- Public health: waste disposal, types of waste, method and importance",9-10
Year 5,1st Term,2,Physical and Health Education,P- field events: discus H- Vision -- eye health: meaning and importance of vision and care of the eye,9-10
Year 5,1st Term,3,Physical and Health Education,"P- football: facilities, techniques and equipment of football H- Environmental health: meaning and importance",9-10
Year 5,1st Term,4,Physical and Health Education,P- football: officiating rules and regulations H- non -- communicable diseases: prevention and control,9-10
Year 5,1st Term,5,Physical and Health Education,"P- volleyball: facilities and techniques and equipment H- Tooth health and dentition: structure of the tooth, dental problems and prevention",9-10
Year 5,1st Term,6,Physical and Health Education,"P- baseball: facilities and techniques H- medicine: meaning, uses, features of fake medicine",9-10
Year 5,1st Term,7,Physical and Health Education,P- basketball: facilities and equipment H- Communicable diseases: prevention and control,9-10
Year 5,1st Term,8,Physical and Health Education,"P- indoor and outdoor games: meaning, types and importance H- Personal hygiene: bathing procedure",9-10
Year 5,1st Term,9,Physical and Health Education,"P- indigenous games: meaning, types and importance H- Careers in health education",9-10
Year 1,1st Term,1,Home Economics,"The human body: meaning, identifying the body parts and their functions",5-6
Year 1,1st Term,2,Home Economics,"Personal hygiene: meaning, ways and importance",5-6
Year 1,1st Term,3,Home Economics,"Household equipments: meaning, examples and simple ways of taking care of household equipments",5-6
Year 1,1st Term,4,Home Economics,"Exercise: meaning, examples and importance",5-6
Year 1,1st Term,5,Home Economics,Rest and sleep: meaning and importance,5-6
Year 1,1st Term,6,Home Economics,"Rooms in the house: meaning, types and functions",5-6
Year 1,1st Term,7,Home Economics,Ventilations in our homes: meaning and importance,5-6
Year 1,1st Term,8,Home Economics,Food and its functions,5-6
Year 1,1st Term,9,Home Economics,Practical ( table setting),5-6
Year 2,1st Term,1,Home Economics,Personal grooming: meaning and identification of body parts,6-7
Year 2,1st Term,2,Home Economics,"Personal grooming: care of the body, hand and feet",6-7
Year 2,1st Term,3,Home Economics,Personal grooming: care of the mouth,6-7
Year 2,1st Term,4,Home Economics,Exercise: exercise equipments and dangers of not exercising,6-7
Year 2,1st Term,5,Home Economics,"Clothing: meaning, types and reasons for wearing clothe",6-7
Year 2,1st Term,6,Home Economics,Balanced diet: meaning and importance,6-7
Year 2,1st Term,7,Home Economics,"Courtesy and etiquettes: meaning, examples and ways",6-7
Year 2,1st Term,8,Home Economics,Personal health rules ( rules for good health),6-7
Year 2,1st Term,9,Home Economics,Practical ( physical exercise),6-7
Year 3,1st Term,1,Home Economics,"Home Economics: meaning, scopes, importance",7-8
Year 3,1st Term,2,Home Economics,"Appearance management: meaning, identification and functions of the body",7-8
Year 3,1st Term,3,Home Economics,"Care of body parts: skin, hair and nose",7-8
Year 3,1st Term,4,Home Economics,"Cosmetics: meaning, examples, uses and precautions on the use of cosmetics",7-8
Year 3,1st Term,5,Home Economics,"Deodorants and anti perspirants : meaning, examples and importance",7-8
Year 3,1st Term,6,Home Economics,"Kitchen: meaning, types, rules and importance",7-8
Year 3,1st Term,7,Home Economics,Rest and Sleep: Health benefits of rest and sleep,7-8
Year 3,1st Term,8,Home Economics,House care: needs for daily cleaning and steps in house caring,7-8
Year 3,1st Term,9,Home Economics,Practical (bead craft),7-8
Year 4,1st Term,1,Home Economics,"Meal and meal planning: meaning, classes and importance",8-9
Year 4,1st Term,2,Home Economics,"Cleaning agents: meaning, types and uses",8-9
Year 4,1st Term,3,Home Economics,"Home surfaces: meaning, types and cleaning",8-9
Year 4,1st Term,4,Home Economics,"Personal belongings: meaning, examples and care",8-9
Year 4,1st Term,5,Home Economics,"Furniture: meaning, examples and care",8-9
Year 4,1st Term,6,Home Economics,"Simple sewing tools: meaning, classification and functions",8-9
Year 4,1st Term,7,Home Economics,Food classification and functions,8-9
Year 4,1st Term,8,Home Economics,"Fruits and fruit drinks: meaning, health benefits and preparation",8-9
Year 4,1st Term,9,Home Economics,"Practical ( making of simple household article,)",8-9
Year 5,1st Term,1,Home Economics,"Home accidents: meaning, examples, causes and preventive measures",9-10
Year 5,1st Term,2,Home Economics,"Personal and family resources: meaning, examples and uses",9-10
Year 5,1st Term,3,Home Economics,"Homemade polish: meaning, ingredients, procedure, safety tips and benefits",9-10
Year 5,1st Term,4,Home Economics,"Special dishes and drinks in our locality: meaning, examples and reasons for preparation",9-10
Year 5,1st Term,5,Home Economics,Careers in home economics,9-10
Year 5,1st Term,6,Home Economics,"Consumer education: meaning, who is a consumer? Factors that influence the choice of consumer, importance of consumer education",9-10
Year 5,1st Term,7,Home Economics,"Good eating habits: meaning, ways of practicing and importance",9-10
Year 5,1st Term,8,Home Economics,"Homemade cleaning agents: meaning, types and uses",9-10
Year 5,1st Term,9,Home Economics,Practical ( liquid soap production),9-10
Year 1,1st Term,1,Basic Science,"Exploring the environment: things in the classroom, schools and home",5-6
Year 1,1st Term,2,Basic Science,"Sense organs: meaning, types and functions",5-6
Year 1,1st Term,3,Basic Science,"Water: meaning, sources and uses",5-6
Year 1,1st Term,4,Basic Science,Living and non-living: Definition and examples (Introduction,5-6
Year 1,1st Term,5,Basic Science,"Soil: meaning, types, uses and importance",5-6
Year 1,1st Term,6,Basic Science,"Energy: meaning, sources, uses",5-6
Year 1,1st Term,7,Basic Science,"Colors: meaning, types and uses Rainbow: meaning, colors of the rainbow Road traffic, colours of object, road marking",5-6
Year 1,1st Term,8,Basic Science,"Air: meaning, properties and importance",5-6
Year 1,1st Term,9,Basic Science,"Simple machines: meaning, types and functions",5-6
Year 2,1st Term,1,Basic Science,"Soil: meaning, types and importance of soil to plants",6-7
Year 2,1st Term,2,Basic Science,"Erosion and flood: meaning, types and effects",6-7
Year 2,1st Term,3,Basic Science,"Weed : meaning, types and effects",6-7
Year 2,1st Term,4,Basic Science,"Plants: features, uses of plants",6-7
Year 2,1st Term,5,Basic Science,"Air pollution: meaning, effects and prevention",6-7
Year 2,1st Term,6,Basic Science,Diseases: (Air and water borne diseases),6-7
Year 2,1st Term,7,Basic Science,"Safety in our environment: Meaning, ways of keeping safe at home and school, simple safety, features, devices and rules",6-7
Year 2,1st Term,8,Basic Science,"Nocturnal animals and predators: meaning, features and examples",6-7
Year 2,1st Term,9,Basic Science,"Water quality: Substance that contaminate, common uses of water and water purification",6-7
Year 3,1st Term,1,Basic Science,"Changes in nature: meaning, types ( with examples)",7-8
Year 3,1st Term,2,Basic Science,"Air in motion: meaning, effects and importance",7-8
Year 3,1st Term,3,Basic Science,Life cycle of plants and their features,7-8
Year 3,1st Term,4,Basic Science,Life cycle of animals and their features,7-8
Year 3,1st Term,5,Basic Science,Metamorphosis in insects : complete and incomplete,7-8
Year 3,1st Term,6,Basic Science,"Light energy: meaning, sources, uses and reflection",7-8
Year 3,1st Term,7,Basic Science,"Measurement of time, Instruments and units of measurement",7-8
Year 3,1st Term,8,Basic Science,"Ecosystem: meaning, food chain, food web and relationship in ecosystem",7-8
Year 3,1st Term,9,Basic Science,"Pollution: meaning, types, effects and control, pollutants and sources",7-8
Year 4,1st Term,1,Basic Science,"Environmental changes: meaning, causes, effects and control of erosion",8-9
Year 4,1st Term,2,Basic Science,"Waste and waste disposal: meaning, types, method of waste disposal and recycling",8-9
Year 4,1st Term,3,Basic Science,"Environmental quality: meaning, ways of maintaining healthy environment",8-9
Year 4,1st Term,4,Basic Science,"Balanced diet: meaning, classes of food, importance and diet related dishes",8-9
Year 4,1st Term,5,Basic Science,Changes in nature: Types; temporal and permanent changes,8-9
Year 4,1st Term,6,Basic Science,"Our weather: Meaning, factors affecting weather, weather instruments, weather symbols and records",8-9
Year 4,1st Term,7,Basic Science,"Respiratory system: meaning, organs, functions of the organs and care",8-9
Year 4,1st Term,8,Basic Science,"Excretory system: meaning, organs, functions of the organs and care",8-9
Year 4,1st Term,9,Basic Science,"Filtration: meaning, mixture, solute and solvent",8-9
Year 5,1st Term,1,Basic Science,"Sense organs: meaning, examples, functions and care",9-10
Year 5,1st Term,2,Basic Science,"Erosion: meaning, types, causes and effects and control",9-10
Year 5,1st Term,3,Basic Science,"Recycling: meaning, the ways of recycling and importance",9-10
Year 5,1st Term,4,Basic Science,"The human body ( skeleton): meaning, types and functions of bone",9-10
Year 5,1st Term,5,Basic Science,"The human body (skeleton) : major bones of human body, types and functions of joint",9-10
Year 5,1st Term,6,Basic Science,"Reproduction in plants: meaning, types, process, agents, pollination and fertilization",9-10
Year 5,1st Term,7,Basic Science,"Rocks: meaning, identification, types, uses and major land mark rocks in Nigeria",9-10
Year 5,1st Term,8,Basic Science,"Acid and bases: meaning, litmus paper, properties and uses",9-10
Year 5,1st Term,9,Basic Science,"Salts: meaning, types and uses",9-10
Year 1,1st Term,1,Computer Studies,Basic fact about computer: meaning and types,5-6
Year 1,1st Term,2,Computer Studies,Uses of a computer,5-6
Year 1,1st Term,3,Computer Studies,Parts of computer,5-6
Year 1,1st Term,4,Computer Studies,Care of each parts of a computer,5-6
Year 1,1st Term,5,Computer Studies,The keyboard: features and uses,5-6
Year 1,1st Term,6,Computer Studies,The mouse: features and uses,5-6
Year 1,1st Term,7,Computer Studies,The monitor: features and uses,5-6
Year 1,1st Term,8,Computer Studies,"Input and output devices: meaning, examples and identification",5-6
Year 1,1st Term,9,Computer Studies,Information technology: meaning and importance,5-6
Year 2,1st Term,1,Computer Studies,History of computer: ( how computer came into existence),6-7
Year 2,1st Term,2,Computer Studies,"Early counting devices ( fingers, pebbles, cowries, stones, sticks, toes e.t.c)",6-7
Year 2,1st Term,3,Computer Studies,"Later development of computer: Abacus, calculator",6-7
Year 2,1st Term,4,Computer Studies,"Input devices: ( keyboard- description, types, uses, functions of special keys)",6-7
Year 2,1st Term,5,Computer Studies,"Input devices:( mouse- description, functions, practical use of mouse)",6-7
Year 2,1st Term,6,Computer Studies,"Output devices: (printer- description , types and uses",6-7
Year 2,1st Term,7,Computer Studies,"Output devices: ( monitor -- description , types and uses)",6-7
Year 2,1st Term,8,Computer Studies,"Digital computer: meaning, origin and types",6-7
Year 2,1st Term,9,Computer Studies,"Introduction to machine codes: meaning of binary digit, understanding decimal numbers",6-7
Year 3,1st Term,1,Computer Studies,Generation of computer,7-8
Year 3,1st Term,2,Computer Studies,"Data and information: meaning, relationships between data and information",7-8
Year 3,1st Term,3,Computer Studies,"Data processing: meaning, steps involved in data processing, data processing, information as end of results of data processing",7-8
Year 3,1st Term,4,Computer Studies,"Database: meaning, types and importance",7-8
Year 3,1st Term,5,Computer Studies,Computer hardware: meaning and examples,7-8
Year 3,1st Term,6,Computer Studies,"Hardware components: meaning, classes - input and output devices",7-8
Year 3,1st Term,7,Computer Studies,Converting soft copy data into digital data ( scanner as an input devices),7-8
Year 3,1st Term,8,Computer Studies,Computer memory: RAM and ROM,7-8
Year 3,1st Term,9,Computer Studies,Microphone and the digital camera as an input devices,7-8
Year 4,1st Term,1,Computer Studies,"Computer in our society: meaning, careers and advantages",8-9
Year 4,1st Term,2,Computer Studies,Computer system: meaning and components of computer system,8-9
Year 4,1st Term,3,Computer Studies,Classification of computer: classification by sizes and functions,8-9
Year 4,1st Term,4,Computer Studies,Word processing,8-9
Year 4,1st Term,5,Computer Studies,Windows,8-9
Year 4,1st Term,6,Computer Studies,"Computer games: meaning, types and uses",8-9
Year 4,1st Term,7,Computer Studies,"Introduction to social media: meaning, types and importance",8-9
Year 4,1st Term,8,Computer Studies,"Introduction to programming language: meaning, types and uses",8-9
Year 4,1st Term,9,Computer Studies,"Search engines: meaning, types and uses",8-9
Year 5,1st Term,1,Computer Studies,"Microsoft word: meaning, features and navigation",9-10
Year 5,1st Term,2,Computer Studies,"Word processing skills: editing (meaning, steps), saving(meaning, steps), retrieving ( meaning, steps)",9-10
Year 5,1st Term,3,Computer Studies,Introduction to typing ( practical),9-10
Year 5,1st Term,4,Computer Studies,"Computer network: meaning, types, functions, advantages and disadvantages",9-10
Year 5,1st Term,5,Computer Studies,"Internet: meaning, types, uses and internet browser",9-10
Year 5,1st Term,6,Computer Studies,Computer misuse/abuse,9-10
Year 5,1st Term,7,Computer Studies,Care of computer,9-10
Year 5,1st Term,8,Computer Studies,Storage devices,9-10
Year 5,1st Term,9,Computer Studies,Artificial intelligence,9-10
